date,Ozone
9/29/2017,0
9/22/2017,0.122
9/15/2017,0.0976
9/8/2017,0.1159
9/1/2017,0.0976
8/25/2017,0.1159
8/18/2017,0.122
8/11/2017,0.122
8/4/2017,0.122
7/28/2017,0.1342
7/21/2017,0.1464
7/14/2017,0.1037
7/7/2017,0.1403
6/30/2017,0.1403
6/23/2017,0.1098
6/16/2017,0.0915
6/9/2017,0.1403
6/2/2017,0.1098
5/26/2017,0.122
5/19/2017,0.1281
5/12/2017,0.0915
5/5/2017,0.122
4/28/2017,0.1342
4/21/2017,0.1037
4/14/2017,0.1403
4/7/2017,0.0915
3/31/2017,0.1464
3/24/2017,0.1342
3/17/2017,0.1403
3/10/2017,0.1098
3/3/2017,0.1281
2/24/2017,0.1342
2/17/2017,0.1342
2/10/2017,0.1525
2/3/2017,0.1281
1/27/2017,0.1281
1/20/2017,0.1342
1/13/2017,0.1281
1/6/2017,0.1159
12/30/2016,0.0793
12/23/2016,0.1342
12/16/2016,0.122
12/9/2016,0.0854
12/2/2016,0.1342
11/25/2016,0.1098
11/18/2016,0.1464
11/11/2016,0.1281
11/4/2016,0.0976
10/28/2016,0.1647
10/21/2016,0.1281
10/14/2016,0.1342
10/7/2016,0.1342
9/30/2016,0.1281
9/23/2016,0.1525
9/16/2016,0.1159
9/9/2016,0
9/2/2016,0.1098
8/26/2016,0.1281
8/19/2016,0.122
8/12/2016,0.1342
8/5/2016,0.1098
7/29/2016,0.1647
7/22/2016,0.122
7/15/2016,0.1037
7/8/2016,0.1098
7/1/2016,0.1098
6/24/2016,0.122
6/17/2016,0.1159
6/10/2016,0.1098
6/3/2016,0.0732
5/27/2016,0.1281
5/20/2016,0.1159
5/13/2016,0.1403
5/6/2016,0.122
4/29/2016,0.1098
4/22/2016,0.1342
4/15/2016,0.1342
4/8/2016,0.122
4/1/2016,0.1464
3/25/2016,0.122
3/18/2016,0.1281
3/11/2016,0.1159
3/4/2016,0.1037
2/26/2016,0.1342
2/19/2016,0.1403
2/12/2016,0.1098
2/5/2016,0.122
1/29/2016,0.1403
1/22/2016,0.0732
1/15/2016,0.1708
1/8/2016,0.1342
1/1/2016,0.1403
12/25/2015,0.1098
12/18/2015,0.1159
12/11/2015,0.0732
12/4/2015,0.1281
11/27/2015,0.1159
11/20/2015,0.122
11/13/2015,0.0793
11/6/2015,0.1403
10/30/2015,0.1098
10/23/2015,0.0976
10/16/2015,0.1647
10/9/2015,0.1159
10/2/2015,0.1281
9/25/2015,0.1525
9/18/2015,0.1159
9/11/2015,0.1281
9/4/2015,0.1342
8/28/2015,0.0976
8/21/2015,0
8/14/2015,0.122
8/7/2015,0.1403
7/31/2015,0.1159
7/24/2015,0.1342
7/17/2015,0.1037
7/10/2015,0.1098
7/3/2015,0.1281
6/26/2015,0.1098
6/19/2015,0.1159
6/12/2015,0.1159
6/5/2015,0.1525
5/29/2015,0.1342
5/22/2015,0.1403
5/15/2015,0.1342
5/8/2015,0.1159
5/1/2015,0.0976
4/24/2015,0.1342
4/17/2015,0.1037
4/10/2015,0.1342
4/3/2015,0.1098
3/27/2015,0.0976
3/20/2015,0.0671
3/13/2015,0.1281
3/6/2015,0.122
2/27/2015,0.122
2/20/2015,0.0854
2/13/2015,0.122
2/6/2015,0.1403
1/30/2015,0.0793
1/23/2015,0.1647
1/16/2015,0.122
1/9/2015,0.1098
1/2/2015,0.0793
12/26/2014,0.1159
12/19/2014,0.0976
12/12/2014,0.0976
12/5/2014,0.1281
11/28/2014,0.1403
11/21/2014,0.122
11/14/2014,0.1281
11/7/2014,0.0976
10/31/2014,0.1098
10/24/2014,0.1403
10/17/2014,0.1098
10/10/2014,0.122
10/3/2014,0.1037
9/26/2014,0.1098
9/19/2014,0.122
9/12/2014,0.1464
9/5/2014,0.122
8/29/2014,0.1281
8/22/2014,0.122
8/15/2014,0.1464
8/8/2014,0.1525
8/1/2014,0
7/25/2014,0.1403
7/18/2014,0.1281
7/11/2014,0.122
7/4/2014,0.1037
6/27/2014,0.1098
6/20/2014,0.1159
6/13/2014,0.1281
6/6/2014,0.122
5/30/2014,0.1098
5/23/2014,0.122
5/16/2014,0.1281
5/9/2014,0.0976
5/2/2014,0.122
4/25/2014,0.1464
4/18/2014,0.1525
4/11/2014,0.1647
4/4/2014,0.0854
3/28/2014,0.1464
3/21/2014,0.1281
3/14/2014,0.1098
3/7/2014,0.1037
2/28/2014,0.1403
2/21/2014,0.1159
2/14/2014,0.1464
2/7/2014,0.1342
1/31/2014,0.1525
1/24/2014,0.1525
1/17/2014,0.1342
1/10/2014,0.1403
1/3/2014,0.1098
12/27/2013,0.1281
12/20/2013,0.1342
12/13/2013,0.1098
12/6/2013,0.1464
11/29/2013,0.1281
11/22/2013,0.1159
11/15/2013,0.1098
11/8/2013,0.122
11/1/2013,0.1159
10/25/2013,0.1037
10/18/2013,0.1342
10/11/2013,0.1281
10/4/2013,0.1403
9/27/2013,0.122
9/20/2013,0.1403
9/13/2013,0.1098
9/6/2013,0.122
8/30/2013,0.1281
8/23/2013,0.1464
8/16/2013,0.1159
8/9/2013,0.1159
8/2/2013,0.183
7/26/2013,0.1342
7/19/2013,0.1342
7/12/2013,0
7/5/2013,0.0915
6/28/2013,0.1281
6/21/2013,0.122
6/14/2013,0.1281
6/7/2013,0.0976
5/31/2013,0.1098
5/24/2013,0.1098
5/17/2013,0.0915
5/10/2013,0.1159
5/3/2013,0.1342
4/26/2013,0.1342
4/19/2013,0.1159
4/12/2013,0.1525
4/5/2013,0.122
3/29/2013,0.1159
3/22/2013,0.122
3/15/2013,0.1525
3/8/2013,0.1037
3/1/2013,0.122
2/22/2013,0.1098
2/15/2013,0.1037
2/8/2013,0.1342
2/1/2013,0.0915
1/25/2013,0.1098
1/18/2013,0.1403
1/11/2013,0.1037
1/4/2013,0.1281
12/28/2012,0.1525
12/21/2012,0.1403
12/14/2012,0.1037
12/7/2012,0.1098
11/30/2012,0.1342
11/23/2012,0.1281
11/16/2012,0.1281
11/9/2012,0.1342
11/2/2012,0.1403
10/26/2012,0.122
10/19/2012,0.122
10/12/2012,0.0915
10/5/2012,0.1098
9/28/2012,0.1403
9/21/2012,0.1281
9/14/2012,0.1281
9/7/2012,0.1281
8/31/2012,0.1403
8/24/2012,0.1342
8/17/2012,0.1159
8/10/2012,0.1403
8/3/2012,0.1342
7/27/2012,0.1464
7/20/2012,0.1281
7/13/2012,0.1037
7/6/2012,0.1159
6/29/2012,0.1037
6/22/2012,0.12
6/15/2012,0.1342
6/8/2012,0.0915
6/1/2012,0.1281
5/25/2012,0.1037
5/18/2012,0.1037
5/11/2012,0.1525
5/4/2012,0.1342
4/27/2012,0.0976
4/20/2012,0.1281
4/13/2012,0.1159
4/6/2012,0.1159
3/30/2012,0.1159
3/23/2012,0.1159
3/16/2012,0.1037
3/9/2012,0.1098
3/2/2012,0.1098
2/24/2012,0.1098
2/17/2012,0.122
2/10/2012,0.1525
2/3/2012,0.1464
1/27/2012,0.0976
1/20/2012,0.1098
1/13/2012,0.1342
1/6/2012,0.1098
12/30/2011,0.0854
12/23/2011,0.1586
12/16/2011,0.1159
12/9/2011,0.1464
12/2/2011,0.1281
11/25/2011,0.1098
11/18/2011,0.1098
11/11/2011,0.1647
11/4/2011,0.1037
10/28/2011,0.1098
10/21/2011,0.1281
10/14/2011,0.1403
10/7/2011,0.1403
9/30/2011,0.1098
9/23/2011,0.1037
9/16/2011,0.1159
9/9/2011,0.1098
9/2/2011,0.1342
8/26/2011,0.1281
8/19/2011,0.0976
8/12/2011,0.0976
8/5/2011,0.0854
7/29/2011,0.0976
7/22/2011,0.1464
7/15/2011,0.1464
7/8/2011,0.1159
7/1/2011,0.1281
6/24/2011,0.1464
6/17/2011,0.1464
6/10/2011,0.1342
6/3/2011,0
5/27/2011,0.1342
5/20/2011,0.1586
5/13/2011,0.1647
5/6/2011,0.1037
4/29/2011,0.1342
4/22/2011,0.1098
4/15/2011,0.1647
4/8/2011,0.1159
4/1/2011,0.1037
3/25/2011,0.1159
3/18/2011,0.1342
3/11/2011,0.1281
3/4/2011,0.122
2/25/2011,0.122
2/18/2011,0.1342
2/11/2011,0.1342
2/4/2011,0.1403
1/28/2011,0.1281
1/21/2011,0.1586
1/14/2011,0.122
1/7/2011,0.1037
12/31/2010,0.1098
12/24/2010,0.1037
12/17/2010,0.1464
12/10/2010,0.122
12/3/2010,0.1098
11/26/2010,0.1464
11/19/2010,0.1037
11/12/2010,0.1159
11/5/2010,0.0976
10/29/2010,0.0915
10/22/2010,0.1281
10/15/2010,0.1159
10/8/2010,0.0915
10/1/2010,0.1281
9/24/2010,0.1159
9/17/2010,0.122
9/10/2010,0.0976
9/3/2010,0.1159
8/27/2010,0.1281
8/20/2010,0.0915
8/13/2010,0.122
8/6/2010,0.1464
7/30/2010,0.1342
7/23/2010,0.1159
7/16/2010,0.0732
7/9/2010,0.1281
7/2/2010,0.1281
6/25/2010,0.1647
6/18/2010,0.1159
6/11/2010,0.0976
6/4/2010,0.1403
5/28/2010,0.1037
5/21/2010,0.1098
5/14/2010,0.13
5/7/2010,0.1098
4/30/2010,0.0915
4/23/2010,0.1769
4/16/2010,0.1037
4/9/2010,0.1098
4/2/2010,0.1159
3/26/2010,0.1037
3/19/2010,0.1037
3/12/2010,0.1281
3/5/2010,0.0854
2/26/2010,0.0976
2/19/2010,0.122
2/12/2010,0.1037
2/5/2010,0.1525
1/29/2010,0.1342
1/22/2010,0.1159
1/15/2010,0.1342
1/8/2010,0.1037
1/1/2010,0.1159
12/25/2009,0.1159
12/18/2009,0.1159
12/11/2009,0.1281
12/4/2009,0.122
11/27/2009,0.0854
11/20/2009,0.122
11/13/2009,0.1464
11/6/2009,0.1098
10/30/2009,0.1281
10/23/2009,0.122
10/16/2009,0.1403
10/9/2009,0.1647
10/2/2009,0.1403
9/25/2009,0.1342
9/18/2009,0.1342
9/11/2009,0.1464
9/4/2009,0.1037
8/28/2009,0.1464
8/21/2009,0.1525
8/14/2009,0.1159
8/7/2009,0.0976
7/31/2009,0.1098
7/24/2009,0.122
7/17/2009,0.1342
7/10/2009,0.0915
7/3/2009,0.1098
6/26/2009,0.1525
6/19/2009,0.1342
6/12/2009,0.1342
6/5/2009,0.1098
5/29/2009,0.1281
5/22/2009,0.1281
5/15/2009,0.1464
5/8/2009,0.0976
5/1/2009,0.0976
4/24/2009,0
4/17/2009,0.1342
4/10/2009,0.0854
4/3/2009,0.1098
3/27/2009,0.1281
3/20/2009,0.122
3/13/2009,0.1586
3/6/2009,0.1464
2/27/2009,0.1342
2/20/2009,0.1464
2/13/2009,0.0976
2/6/2009,0.1098
1/30/2009,0.122
1/23/2009,0.1586
1/16/2009,0.1159
1/9/2009,0.122
1/2/2009,0.1464
12/26/2008,0.122
12/19/2008,0.0976
12/12/2008,0.1037
12/5/2008,0.1098
11/28/2008,0.0854
11/21/2008,0.1281
11/14/2008,0.1281
11/7/2008,0.1037
10/31/2008,0.1037
10/24/2008,0.1037
10/17/2008,0.1403
10/10/2008,0.1647
10/3/2008,0.0976
9/26/2008,0.1342
9/19/2008,0.122
9/12/2008,0.1281
9/5/2008,0.1281
8/29/2008,0.1281
8/22/2008,0.1281
8/15/2008,0.1098
8/8/2008,0.1586
8/1/2008,0.1525
7/25/2008,0.1159
7/18/2008,0.1098
7/11/2008,0.1708
7/4/2008,0.1159
6/27/2008,0.1525
6/20/2008,0.1037
6/13/2008,0.1098
6/6/2008,0.1464
5/30/2008,0.1098
5/23/2008,0.0976
5/16/2008,0.1037
5/9/2008,0.1159
5/2/2008,0.1342
4/25/2008,0.122
4/18/2008,0.1769
4/11/2008,0.122
4/4/2008,0
3/28/2008,0.1098
3/21/2008,0.1464
3/14/2008,0.1342
3/7/2008,0.1159
2/29/2008,0.1098
2/22/2008,0.0915
2/15/2008,0.122
2/8/2008,0.1342
2/1/2008,0.122
1/25/2008,0.1281
1/18/2008,0.1403
1/11/2008,0.1281
1/4/2008,0.1647
12/28/2007,0.1403
12/21/2007,0.0854
12/14/2007,0.1525
12/7/2007,0.122
11/30/2007,0.122
11/23/2007,0.1159
11/16/2007,0.1464
11/9/2007,0.1586
11/2/2007,0.122
10/26/2007,0.0854
10/19/2007,0.1586
10/12/2007,0.122
10/5/2007,0.1098
9/28/2007,0.1586
9/21/2007,0.1403
9/14/2007,0.122
9/7/2007,0.1037
8/31/2007,0.1098
8/24/2007,0.1159
8/17/2007,0.122
8/10/2007,0.1159
8/3/2007,0.1525
7/27/2007,0.1403
7/20/2007,0.1525
7/13/2007,0.1281
7/6/2007,0.0976
6/29/2007,0.0854
6/22/2007,0.1159
6/15/2007,0.1159
6/8/2007,0.1098
6/1/2007,0.0976
5/25/2007,0.1525
5/18/2007,0.1281
5/11/2007,0.1403
5/4/2007,0.1037
4/27/2007,0.1342
4/20/2007,0.1525
4/13/2007,0.1586
4/6/2007,0.0915
3/30/2007,0.1281
3/23/2007,0.122
3/16/2007,0.14
3/9/2007,0.122
3/2/2007,0.1098
2/23/2007,0.1464
2/16/2007,0.1281
2/9/2007,0.1281
2/2/2007,0.0915
1/26/2007,0.1098
1/19/2007,0.1586
1/12/2007,0.1342
1/5/2007,0.1098
12/29/2006,0.1159
12/22/2006,0.0915
12/15/2006,0.1342
12/8/2006,0.1342
12/1/2006,0.1159
11/24/2006,0.1403
11/17/2006,0.122
11/10/2006,0.1342
11/3/2006,0.1403
10/27/2006,0.1098
10/20/2006,0.1098
10/13/2006,0.1525
10/6/2006,0.1586
9/29/2006,0.1281
9/22/2006,0.0732
9/15/2006,0.1159
9/8/2006,0.1525
9/1/2006,0.1159
8/25/2006,0.1159
8/18/2006,0.1159
8/11/2006,0.1159
8/4/2006,0.1464
7/28/2006,0.1525
7/21/2006,0.1159
7/14/2006,0.0793
7/7/2006,0.1098
6/30/2006,0.0732
6/23/2006,0.122
6/16/2006,0.1342
6/9/2006,0.1159
6/2/2006,0.1403
5/26/2006,0.1342
5/19/2006,0.1098
5/12/2006,0.122
5/5/2006,0.1464
4/28/2006,0.1098
4/21/2006,0.1342
4/14/2006,0.1159
4/7/2006,0.1098
3/31/2006,0.1464
3/24/2006,0.1281
3/17/2006,0.122
3/10/2006,0.1403
3/3/2006,0.1037
2/24/2006,0.089
2/17/2006,0.1586
2/10/2006,0.1281
2/3/2006,0.1586
1/27/2006,0.122
1/20/2006,0.0915
1/13/2006,0.1464
1/6/2006,0.1403
12/30/2005,0.1281
12/23/2005,0.1098
12/16/2005,0.1342
12/9/2005,0.1647
12/2/2005,0.1342
11/25/2005,0.122
11/18/2005,0.1159
11/11/2005,0.1342
11/4/2005,0.1464
10/28/2005,0.1037
10/21/2005,0.122
10/14/2005,0.1281
10/7/2005,0.1098
9/30/2005,0.1464
9/23/2005,0.1403
9/16/2005,0.1159
9/9/2005,0.1037
9/2/2005,0.1037
8/26/2005,0.1281
8/19/2005,0.1281
8/12/2005,0.1342
8/5/2005,0.1037
7/29/2005,0.1037
7/22/2005,0.1464
7/15/2005,0.1159
7/8/2005,0.0976
7/1/2005,0.1342
6/24/2005,0.1281
6/17/2005,0.1037
6/10/2005,0.1281
6/3/2005,0.0976
5/27/2005,0.1159
5/20/2005,0.1159
5/13/2005,0.0915
5/6/2005,0.1159
4/29/2005,0.1281
4/22/2005,0.122
4/15/2005,0.1403
4/8/2005,0.122
4/1/2005,0.1281
3/25/2005,0.1281
3/18/2005,0.1037
3/11/2005,0.1159
3/4/2005,0.1281
2/25/2005,0.1403
2/18/2005,0.1586
2/11/2005,0.1281
2/4/2005,0
1/28/2005,0.1586
1/21/2005,0.1159
1/14/2005,0.0915
1/7/2005,0.0976
12/31/2004,0.0976
12/24/2004,0.122
12/17/2004,0.1403
12/10/2004,0.1098
12/3/2004,0.1159
11/26/2004,0.1159
11/19/2004,0.1098
11/12/2004,0.122
11/5/2004,0.1281
10/29/2004,0.1159
10/22/2004,0.122
10/15/2004,0.1037
10/8/2004,0.1098
10/1/2004,0.1464
9/24/2004,0.1098
9/17/2004,0.0915
9/10/2004,0.122
9/3/2004,0.122
8/27/2004,0.1342
8/20/2004,0.1342
8/13/2004,0.0854
8/6/2004,0.1464
7/30/2004,0.1159
7/23/2004,0.1464
7/16/2004,0.122
7/9/2004,0.1281
7/2/2004,0.1159
6/25/2004,0.1098
6/18/2004,0.1403
6/11/2004,0.1403
6/4/2004,0.0976
5/28/2004,0.1403
5/21/2004,0.1037
5/14/2004,0.122
5/7/2004,0.1159
4/30/2004,0.1281
4/23/2004,0.1159
4/16/2004,0.122
4/9/2004,0.1281
4/2/2004,0.1159
3/26/2004,0.1037
3/19/2004,0.0976
3/12/2004,0.1281
3/5/2004,0.0976
2/27/2004,0.122
2/20/2004,0.1403
2/13/2004,0.1342
2/6/2004,0.0976
1/30/2004,0.1281
1/23/2004,0.1159
1/16/2004,0
1/9/2004,0.1159
1/2/2004,0.122
12/26/2003,0.1098
12/19/2003,0.1342
12/12/2003,0.1037
12/5/2003,0.1464
11/28/2003,0.1525
11/21/2003,0.1342
11/14/2003,0.1342
11/7/2003,0.1098
10/31/2003,0.1098
10/24/2003,0.1403
10/17/2003,0.1098
10/10/2003,0.1403
10/3/2003,0.1037
9/26/2003,0.1464
9/19/2003,0.1403
9/12/2003,0.1037
9/5/2003,0.1403
8/29/2003,0.122
8/22/2003,0.1586
8/15/2003,0.1586
8/8/2003,0.1098
8/1/2003,0.1281
7/25/2003,0.122
7/18/2003,0.1403
7/11/2003,0.0854
7/4/2003,0.1281
6/27/2003,0.1098
6/20/2003,0.0915
6/13/2003,0.1281
6/6/2003,0.1403
5/30/2003,0.1098
5/23/2003,0.1037
5/16/2003,0.1342
5/9/2003,0.1342
5/2/2003,0.1403
4/25/2003,0.1159
4/18/2003,0.122
4/11/2003,0.1281
4/4/2003,0.1281
3/28/2003,0.1281
3/21/2003,0.1403
3/14/2003,0.0976
3/7/2003,0.1525
2/28/2003,0.0976
2/21/2003,0.1464
2/14/2003,0.1403
2/7/2003,0.122
1/31/2003,0.1403
1/24/2003,0.1464
1/17/2003,0.0854
1/10/2003,0.1037
1/3/2003,0.1281
12/27/2002,0.064
12/20/2002,0.0915
12/13/2002,0.1159
12/6/2002,0.1098
11/29/2002,0.0793
11/22/2002,0.1098
11/15/2002,0.122
11/8/2002,0.1281
11/1/2002,0.0976
10/25/2002,0.1159
10/18/2002,0.1281
10/11/2002,0.1342
10/4/2002,0.1403
9/27/2002,0.1403
9/20/2002,0.0976
9/13/2002,0.1586
9/6/2002,0.1098
8/30/2002,0.1342
8/23/2002,0.0854
8/16/2002,0.1159
8/9/2002,0.0793
8/2/2002,0.1037
7/26/2002,0.1159
7/19/2002,0.0976
7/12/2002,0.1342
7/5/2002,0.1159
6/28/2002,0.1098
6/21/2002,0.1342
6/14/2002,0.1159
6/7/2002,0.1159
5/31/2002,0.0915
5/24/2002,0.1342
5/17/2002,0.122
5/10/2002,0.1159
5/3/2002,0.1342
4/26/2002,0.122
4/19/2002,0.1403
4/12/2002,0.1098
4/5/2002,0.1647
3/29/2002,0.1098
3/22/2002,0.1098
3/15/2002,0.1159
3/8/2002,0.1281
3/1/2002,0.1769
2/22/2002,0.1159
2/15/2002,0.1037
2/8/2002,0.1403
2/1/2002,0.1464
1/25/2002,0.122
1/18/2002,0.1098
1/11/2002,0.1159
1/4/2002,0.1281
12/28/2001,0.122
12/21/2001,0.1159
12/14/2001,0.1159
12/7/2001,0
11/30/2001,0.1525
11/23/2001,0.122
11/16/2001,0.1525
11/9/2001,0.1037
11/2/2001,0.1403
10/26/2001,0.1403
10/19/2001,0.122
10/12/2001,0.1037
10/5/2001,0.1342
9/28/2001,0.122
9/21/2001,0.1342
9/14/2001,0.1159
9/7/2001,0.0976
8/31/2001,0.1464
8/24/2001,0.1342
8/17/2001,0.1037
8/10/2001,0.122
8/3/2001,0.1342
7/27/2001,0.0976
7/20/2001,0.1037
7/13/2001,0.1525
7/6/2001,0.1098
6/29/2001,0.1342
6/22/2001,0.122
6/15/2001,0.0976
6/8/2001,0.1098
6/1/2001,0.1403
5/25/2001,0.1159
5/18/2001,0.1281
5/11/2001,0.1342
5/4/2001,0.1342
4/27/2001,0.1281
4/20/2001,0.0854
4/13/2001,0.1037
4/6/2001,0.1281
3/30/2001,0.0793
3/23/2001,0.1464
3/16/2001,0.122
3/9/2001,0.0976
3/2/2001,0.1342
2/23/2001,0.1342
2/16/2001,0.1098
2/9/2001,0.1159
2/2/2001,0.0976
1/26/2001,0.122
1/19/2001,0.1281
1/12/2001,0.1464
1/5/2001,0.1525
12/29/2000,0.1159
12/22/2000,0.1098
12/15/2000,0.1037
12/8/2000,0.1098
12/1/2000,0.1098
11/24/2000,0.0915
11/17/2000,0
11/10/2000,0.1098
11/3/2000,0.1342
10/27/2000,0.1159
10/20/2000,0.1159
10/13/2000,0.1586
10/6/2000,0.1281
9/29/2000,0.1403
9/22/2000,0.1098
9/15/2000,0.1342
9/8/2000,0.1098
9/1/2000,0.1159
8/25/2000,0.1098
8/18/2000,0.1159
8/11/2000,0.122
8/4/2000,0.1342
7/28/2000,0.1281
7/21/2000,0.1037
7/14/2000,0.1159
7/7/2000,0.122
6/30/2000,0.1525
6/23/2000,0.1037
6/16/2000,0.1098
6/9/2000,0.122
6/2/2000,0.0976
5/26/2000,0.1098
5/19/2000,0.1525
5/12/2000,0.122
5/5/2000,0.1525
4/28/2000,0.0976
4/21/2000,0.1281
4/14/2000,0.1403
4/7/2000,0.122
3/31/2000,0.122
3/24/2000,0.1098
3/17/2000,0.1281
3/10/2000,0.122
3/3/2000,0.122
2/25/2000,0.122
2/18/2000,0.1159
2/11/2000,0.1159
2/4/2000,0.122
1/28/2000,0.1403
1/21/2000,0.0915
1/14/2000,0.1342
1/7/2000,0.1403
12/31/1999,0.1037
12/24/1999,0.1037
12/17/1999,0.1342
12/10/1999,0.122
12/3/1999,0.0793
11/26/1999,0.1159
11/19/1999,0.1342
11/12/1999,0.0976
11/5/1999,0.1403
10/29/1999,0.165
10/22/1999,0.0915
10/15/1999,0.1403
10/8/1999,0.1098
10/1/1999,0.1464
9/24/1999,0.0976
9/17/1999,0.1464
9/10/1999,0.1098
9/3/1999,0.0976
8/27/1999,0.1464
8/20/1999,0.1159
8/13/1999,0.0915
8/6/1999,0.1159
7/30/1999,0.1708
7/23/1999,0.0793
7/16/1999,0.1342
7/9/1999,0.122
7/2/1999,0.1525
6/25/1999,0.1159
6/18/1999,0.122
6/11/1999,0.1464
6/4/1999,0.1403
5/28/1999,0.1098
5/21/1999,0.1403
5/14/1999,0.1098
5/7/1999,0.1525
4/30/1999,0.0732
4/23/1999,0.1342
4/16/1999,0.1159
4/9/1999,0.1159
4/2/1999,0.1281
3/26/1999,0.1098
3/19/1999,0.1342
3/12/1999,0.1098
3/5/1999,0.1342
2/26/1999,0.1098
2/19/1999,0.1342
2/12/1999,0.1342
2/5/1999,0.1403
1/29/1999,0.1281
1/22/1999,0.1098
1/15/1999,0.1098
1/8/1999,0.1403
1/1/1999,0.0854
12/25/1998,0.1159
12/18/1998,0.1342
12/11/1998,0.1098
12/4/1998,0.0854
11/27/1998,0.1464
11/20/1998,0.1464
11/13/1998,0.0732
11/6/1998,0.1342
10/30/1998,0.122
10/23/1998,0.1159
10/16/1998,0.1342
10/9/1998,0.183
10/2/1998,0.1342
9/25/1998,0.1403
9/18/1998,0.1403
9/11/1998,0.0915
9/4/1998,0.1342
8/28/1998,0.1464
8/21/1998,0.1281
8/14/1998,0.1464